vxs,vys,vzs
-1.4143963680000002,6.52647464,-7.285688088
-1.5819720560000001,6.591647384000001,-7.188643784000002
-1.473731448,6.579972840000001,-7.21515396
-1.1650906400000003,6.548773952,-7.108158736
-1.3108460400000002,6.661033344000001,-7.313632592
-0.9554996080000001,6.519105824000001,-7.0117855360000005
-1.096565904,6.600931512000001,-7.20443472
-1.008232232,6.505228632000001,-7.192376408000001
-0.979042344,6.570689104000001,-7.203956872
-1.2035626959999999,6.6971134160000005,-7.155052912
-1.0214402800000002,6.51747824,-7.024226440000001
-1.3662583760000002,6.656056904000001,-7.358708672000001
-1.231507592,6.25515576,-7.369714856000001
-0.8664964,6.196010800000001,-7.622658344000001
-0.9401884800000001,6.083942704,-7.590884784000001
-0.982966656,6.012262368000001,-7.657876408000001
